33;Knight of Wands;knight_of_wands;The Knight of Wands symbolizes passion, adventure, and impulsiveness. Depicted as a daring figure on horseback, it represents taking swift action and pursuing desires with vigor. It urges embracing spontaneity and courageously chasing dreams or goals with determination and enthusiasm.
34;Queen of Wands;queen_of_wands;The Queen of Wands symbolizes confidence, vitality, and leadership. Depicted as a charismatic figure holding a wand, she exudes warmth and strength. She represents creativity, passion, and independence. She urges embracing one's inner fire, standing tall in convictions, and leading with charisma and enthusiasm.
35;King of Wands;king_of_wands;The King of Wands symbolizes charisma, vision, and leadership. Depicted as a confident figure holding a wand, he embodies strength and authority. He represents innovation, passion, and taking bold action. He urges embracing challenges with determination, inspiring others with his vision, and leading by example with unwavering conviction.
36;Ace of Pentacles;ace_of_pentacles;The Ace of Pentacles symbolizes opportunity, prosperity, and new beginnings in the material realm. Depicted as a hand emerging from a cloud, offering a pentacle, it signifies potential for financial or material abundance. It urges seizing opportunities for stability, growth, and practical achievement.
37;2 of Pentacles;pentacles_2;The Two of Pentacles symbolizes balance, adaptability, and juggling priorities. Depicted with a figure balancing two pentacles, it represents managing multiple responsibilities or resources. It urges flexibility in handling life's fluctuations and finding harmony amidst change.
38;3 of Pentacles;pentacles_3;The Three of Pentacles symbolizes collaboration, craftsmanship, and teamwork. Depicted with figures working together on a project, it represents skilled effort and mutual support. It signifies progress through cooperation and dedication to achieving shared goals.
39;4 of Pentacles;pentacles_4;The Four of Pentacles symbolizes security, stability, and possessiveness. Depicted with a figure holding onto pentacles tightly, it represents material wealth and reluctance to share or let go. It urges finding a balance between financial stability and generosity, and caution against excessive attachment to possessions.
40;5 of Pentacles;pentacles_5;The Five of Pentacles symbolizes hardship, loss, and financial struggle. Depicted with figures outside a church in the cold, it represents feeling abandoned or lacking resources. It urges seeking support during tough times, reminding that help is available if one reaches out, and fostering resilience to overcome adversity.
41;6 of Pentacles;pentacles_6;The Six of Pentacles symbolizes generosity, charity, and balance. Depicted with a figure giving to others, it represents sharing wealth and resources. It signifies finding harmony in giving and receiving, as well as cultivating compassion and fairness in interactions with others.
42;7 of Pentacles;pentacles_7;The Seven of Pentacles symbolizes patience, assessment, and investment. Depicted with a figure examining plants, it represents waiting for growth and evaluating progress. It urges persistence in long-term endeavors, trusting the process, and making adjustments as needed to yield fruitful results.
43;8 of Pentacles;pentacles_8;The Eight of Pentacles symbolizes diligence, skill, and craftsmanship. Depicted with a figure meticulously working on pentacles, it represents dedication to mastery and improvement. It signifies honing skills through hard work and attention to detail, striving for excellence in one's craft or profession.
44;9 of Pentacles;pentacles_9;The Nine of Pentacles symbolizes independence, luxury, and self-sufficiency. Depicted with a figure enjoying abundance in a lush garden, it represents financial security and personal fulfillment. It signifies reaping the rewards of hard work and embracing a life of comfort and leisure.
45;10 of Pentacles;pentacles_10;The Ten of Pentacles symbolizes wealth, inheritance, and long-term success. Depicted with figures celebrating in front of a grand estate, it represents generational prosperity and legacy. It signifies achieving security and fulfillment through familial and material abundance, as well as finding joy in shared heritage and traditions.
46;Page of Pentacles;page_of_pentacles;The Page of Pentacles symbolizes ambition, diligence, and potential in the material realm. Depicted as a youthful figure holding a pentacle, it represents a new venture or opportunity for financial or practical growth. It urges embracing curiosity and learning to develop skills or pursue goals with dedication and enthusiasm.
47;Knight of Pentacles;knight_of_pentacles;The Knight of Pentacles symbolizes reliability, responsibility, and practicality. Depicted as a figure on horseback, he embodies a steady and methodical approach to achieving goals. He represents dedication to work, perseverance, and a commitment to long-term success. He urges patience and thoroughness in all endeavors, prioritizing stability and tangible results.
48;Queen of Pentacles;queen_of_pentacles;The Queen of Pentacles symbolizes nurturing, abundance, and practicality. Depicted as a compassionate figure surrounded by nature, she represents financial security and domestic harmony. She embodies a strong sense of responsibility, providing support and stability to those around her. She urges embracing the comforts of home and finding fulfillment in nurturing others while maintaining a grounded and resourceful approach to life.
49;King of Pentacles;king_of_pentacles;The King of Pentacles symbolizes abundance, stability, and worldly success. Depicted as a prosperous figure seated on a throne, he embodies financial security and material achievement. He represents mastery over resources, sound investments, and a disciplined approach to wealth management. He urges embracing opportunities for growth and utilizing practical wisdom to build a solid foundation for long-term prosperity.
50;Ace of Swords;ace_of_swords;The Ace of Swords symbolizes clarity, truth, and mental breakthroughs. Depicted with a hand holding a sword, it represents new ideas or insights cutting through confusion. It signifies intellectual clarity, mental strength, and the power of truth and reason. It urges facing challenges with courage, seeking truth, and using intellect to overcome obstacles.
51;2 of Swords;swords_2;The Two of Swords symbolizes indecision, stalemate, and inner conflict. Depicted with a figure blindfolded and holding two crossed swords, it represents a need to make a difficult choice or find balance between opposing forces. It urges finding clarity through introspection, weighing options carefully, and making decisions with a clear mind and open heart.
52;3 of Swords;swords_3;The Three of Swords symbolizes heartache, pain, and sorrow. Depicted with three swords piercing a heart, it represents emotional upheaval and grief. It urges facing and processing painful truths or experiences to facilitate healing and growth. It reminds that while heartache is inevitable, it's essential to acknowledge and release emotional pain to move forward with resilience and understanding.
53;4 of Swords;swords_4;The Four of Swords symbolizes rest, recuperation, and contemplation. Depicted with a figure resting in prayer or meditation, it represents taking a break from stress or conflict to recharge mentally and spiritually. It urges prioritizing self-care, seeking inner peace, and gaining clarity through reflection to prepare for future challenges with renewed strength and clarity.
54;5 of Swords;swords_5;The Five of Swords symbolizes conflict, defeat, and discord. Depicted with figures in a tense standoff, it represents victory at a cost and feelings of bitterness or resentment. It urges acceptance of losses or setbacks, recognizing when to walk away from conflict, and learning from experiences to avoid further harm or hostility.
55;6 of Swords;swords_6;The Six of Swords symbolizes transition, moving on, and finding peace. Depicted with figures traveling in a boat, it represents leaving behind troubled waters for calmer shores. It signifies a journey toward healing, clarity, and emotional stability. It urges embracing change, trusting the process, and seeking solace in new beginnings and brighter horizons.
56;7 of Swords;swords_7;The Seven of Swords symbolizes deception, betrayal, and stealth. Depicted with a figure sneaking away with stolen swords, it represents dishonesty or deceitful behavior. It urges caution against being misled or manipulated and encourages vigilance in protecting one's interests. It advises facing truth and confronting dishonesty to maintain integrity and avoid unnecessary conflict or loss.
57;8 of Swords;swords_8;The Eight of Swords symbolizes restriction, self-imposed limitations, and feeling trapped. Depicted with a figure blindfolded and surrounded by swords, it represents mental entrapment and powerlessness. It urges recognizing self-imposed obstacles and finding the courage to break free from limiting beliefs or situations. It reminds that liberation lies in acknowledging fears and embracing new perspectives to navigate challenges with clarity and confidence.
58;9 of Swords;swords_9;The Nine of Swords symbolizes anxiety, fear, and worry. Depicted with a figure sitting up in bed with hands on face, it represents inner turmoil and distress. It urges confronting and addressing worries, rather than letting them consume. It advises seeking support, finding ways to ease the mind, and trusting that solutions will emerge to alleviate concerns.
59;10 of Swords;swords_10;The Ten of Swords symbolizes betrayal, rock bottom, and painful endings. Depicted with a figure lying face-down with ten swords in their back, it represents reaching a point of total defeat or downfall. It urges acceptance of harsh truths, acknowledging that things can't get worse, and finding the courage to let go of what no longer serves. It signifies the end of a painful chapter, paving the way for new beginnings and growth.
60;Page of Swords;page_of_swords;The Page of Swords symbolizes curiosity, intellect, and vigilance. Depicted as a young figure holding a sword, it represents a thirst for knowledge and new ideas. It signifies intellectual curiosity, sharp wit, and a readiness to confront challenges with agility and determination. It urges embracing curiosity, staying alert to new opportunities, and using mental agility to navigate obstacles with confidence.
61;Knight of Swords;knight_of_swords;The Knight of Swords symbolizes action, ambition, and assertiveness. Depicted as a figure charging forward on horseback with a sword raised, it represents swift movement and determination. It signifies a bold and direct approach to challenges, often with a sense of urgency or impulsiveness. It urges embracing change, pursuing goals with determination, and facing obstacles head-on with confidence and decisiveness.
62;Queen of Swords;queen_of_swords;The Queen of Swords symbolizes clarity, independence, and intellect. Depicted as a figure holding a sword and seated with a stern expression, she embodies sharp wit and discernment. She signifies clear communication, rational thinking, and a no-nonsense approach to life. She urges embracing honesty, setting boundaries, and making decisions based on logic and reason rather than emotion.
63;King of Swords;king_of_swords;The King of Swords symbolizes intellect, authority, and integrity. Depicted as a figure holding a sword and seated with a commanding presence, he embodies wisdom and leadership. He signifies rational thinking, clear communication, and decisive action. He urges embracing logic, upholding principles, and using intellect to navigate challenges with fairness and integrity.
64;Ace of Cups;ace_of_cups;The Ace of Cups symbolizes love, new emotions, and spiritual abundance. Depicted as a cup overflowing with water and a dove holding a communion wafer or host, it represents the potential for deep emotional fulfillment and spiritual awakening. It urges opening the heart to love, compassion, and connection with oneself and others.
65;2 of Cups;cups_2;The Two of Cups symbolizes partnership, harmony, and mutual attraction. Depicted with two figures exchanging cups, it represents a deep emotional bond and shared understanding between individuals. It signifies the beginning of a loving relationship or the strengthening of existing connections. It urges embracing unity, cooperation, and mutual support in relationships to foster growth and harmony.
66;3 of Cups;cups_3;The Three of Cups symbolizes celebration, friendship, and joy. Depicted with three figures raising their cups in a toast, it represents communal happiness and shared experiences. It signifies gatherings, reunions, and rejoicing in the company of loved ones. It urges embracing connections, fostering camaraderie, and expressing gratitude for the abundance of love and support in life.
67;4 of Cups;cups_4;The Four of Cups symbolizes apathy, discontent, and contemplation. Depicted with a figure sitting under a tree, seemingly uninterested in the cups offered, it represents feelings of dissatisfaction or boredom. It signifies introspection, soul-searching, and the need to reassess one's priorities or perspective. It urges acknowledging and addressing emotional stagnation to rediscover appreciation for the blessings in life.
68;5 of Cups;cups_5;The Five of Cups symbolizes loss, regret, and disappointment. Depicted with a figure mourning over spilled cups while two remain upright, it represents dwelling on past failures or losses. It signifies feelings of sadness, grief, or missed opportunities. It urges acceptance of what cannot be changed, finding silver linings in adversity, and focusing on the potential for renewal and growth despite setbacks.
69;6 of Cups;cups_6;The Six of Cups symbolizes nostalgia, innocence, and happy memories. Depicted with two figures exchanging cups filled with flowers, it represents a connection to the past and cherished childhood memories. It signifies innocence, simplicity, and a sense of emotional security. It urges embracing nostalgia, finding joy in simple pleasures, and fostering a childlike sense of wonder and optimism in life.
70;7 of Cups;cups_7;The Seven of Cups symbolizes choices, illusions, and fantasies. Depicted with a figure gazing at multiple cups with different symbols inside, it represents a plethora of options or dreams. It signifies confusion, indecision, and the need to discern between reality and fantasy. It urges prioritizing goals, staying grounded in reality, and making decisions based on practicality rather than wishful thinking.
71;8 of Cups;cups_8;The Eight of Cups symbolizes transition, moving on, and emotional growth. Depicted with a figure walking away from a row of upright cups, it represents leaving behind the familiar to pursue inner fulfillment or a higher calling. It signifies introspection, soul-searching, and the courage to follow one's heart, even if it means letting go of attachments or relationships. It urges embracing change, trusting intuition, and embarking on a journey of self-discovery and personal fulfillment.
72;9 of Cups;cups_9;The Nine of Cups symbolizes contentment, satisfaction, and emotional fulfillment. Depicted with a figure surrounded by nine cups arranged in a crescent shape, it represents a sense of abundance and happiness. It signifies achieving personal goals, material and emotional well-being, and a deep sense of gratification. It urges embracing gratitude, celebrating achievements, and finding joy in life's blessings.
73;10 of Cups;cups_10;The Ten of Cups symbolizes happiness, harmony, and emotional fulfillment. Depicted with a family celebrating under a rainbow, it represents joyous relationships and domestic bliss. It signifies deep emotional connections, love, and shared happiness with loved ones. It urges embracing love, fostering harmony, and appreciating the abundance of love and contentment in life.
74;Page of Cups;page_of_cups;The Page of Cups symbolizes creativity, intuition, and new beginnings in emotions. Depicted as a youthful figure holding a cup with a fish emerging, it represents a budding awareness of feelings and artistic inspiration. It signifies emotional sensitivity, imaginative potential, and receptivity to new experiences. It urges embracing intuition, exploring creative pursuits, and being open to the messages of the heart.
75;Knight of Cups;knight_of_cups;The Knight of Cups symbolizes romance, imagination, and charm. Depicted as a figure on horseback with a cup in hand, he embodies a dreamy and idealistic nature. He signifies emotional depth, romantic pursuits, and a quest for emotional fulfillment. He urges following the heart's desires, embracing creative inspiration, and pursuing dreams with passion and sensitivity.
76;Queen of Cups;queen_of_cups;The Queen of Cups symbolizes compassion, intuition, and emotional depth. Depicted as a serene figure holding a cup, she embodies empathy and sensitivity. She represents nurturing relationships, intuition, and inner wisdom. She urges embracing empathy, trusting intuition, and fostering emotional connections with others with kindness and understanding.
77;King of Cups;king_of_cups;The King of Cups symbolizes emotional balance, compassion, and wisdom. Depicted as a figure seated on a throne with a cup, he embodies mastery over emotions and empathy. He represents emotional maturity, integrity, and a calm demeanor. He urges leading with compassion, maintaining emotional stability, and providing support and guidance to others with understanding and wisdom.
